Region,Resource,Zone,Cluster,AnnualSum
None,nse0_heating_space_load_SE2,2,1,1.8649251119462736e6
None,nse1_heating_space_load_SE2,2,1,1.4124854184274368e6
None,nse2_heating_space_load_SE2,2,1,0.0
None,nse3_heating_space_load_SE2,2,1,0.0
None,nse0_heating_space_load_SE3,3,1,1.0391346225484882e7
None,nse1_heating_space_load_SE3,3,1,7.604139609653147e6
None,nse2_heating_space_load_SE3,3,1,0.0
None,nse3_heating_space_load_SE3,3,1,0.0
None,nse0_heating_space_load_SE4,4,1,3.3440408122560666e6
None,nse1_heating_space_load_SE4,4,1,2.4400143311000364e6
None,nse2_heating_space_load_SE4,4,1,0.0
None,nse3_heating_space_load_SE4,4,1,0.0
None,nse0_heating_sanitary_load_SE1,1,1,88492.56054525332
None,nse1_heating_sanitary_load_SE1,1,1,64069.338274732625
None,nse2_heating_sanitary_load_SE1,1,1,0.0
None,nse3_heating_sanitary_load_SE1,1,1,0.0
None,nse0_heating_sanitary_load_SE2,2,1,166837.85502704085
None,nse1_heating_sanitary_load_SE2,2,1,120653.54015173046
None,nse2_heating_sanitary_load_SE2,2,1,0.0
None,nse3_heating_sanitary_load_SE2,2,1,0.0
None,nse0_heating_sanitary_load_SE3,3,1,1.252386786163974e6
None,nse1_heating_sanitary_load_SE3,3,1,826098.0388260486
None,nse2_heating_sanitary_load_SE3,3,1,0.0
None,nse3_heating_sanitary_load_SE3,3,1,0.0
None,nse0_heating_sanitary_load_SE4,4,1,463138.4773514969
None,nse1_heating_sanitary_load_SE4,4,1,299455.8956810977
None,nse2_heating_sanitary_load_SE4,4,1,0.0
None,nse3_heating_sanitary_load_SE4,4,1,0.0
None,nse0_EV_load_SE1,1,1,0.0
None,nse1_EV_load_SE1,1,1,0.0
None,nse2_EV_load_SE1,1,1,0.0
None,nse3_EV_load_SE1,1,1,0.0
None,nse0_EV_load_SE2,2,1,0.0
None,nse1_EV_load_SE2,2,1,0.0
None,nse2_EV_load_SE2,2,1,0.0
None,nse3_EV_load_SE2,2,1,0.0
None,nse0_EV_load_SE3,3,1,0.0
None,nse1_EV_load_SE3,3,1,0.0
None,nse2_EV_load_SE3,3,1,0.0
None,nse3_EV_load_SE3,3,1,0.0
None,nse0_EV_load_SE4,4,1,0.0
None,nse1_EV_load_SE4,4,1,0.0
None,nse2_EV_load_SE4,4,1,0.0
None,nse3_EV_load_SE4,4,1,0.0
None,nse0_residential_tertiary_load_SE1,1,1,788745.9814058878
None,nse1_residential_tertiary_load_SE1,1,1,585581.8224003026
None,nse2_residential_tertiary_load_SE1,1,1,0.0
None,nse3_residential_tertiary_load_SE1,1,1,0.0
None,nse0_residential_tertiary_load_SE2,2,1,946523.9642959329
None,nse1_residential_tertiary_load_SE2,2,1,711658.0108280292
None,nse2_residential_tertiary_load_SE2,2,1,0.0
None,nse3_residential_tertiary_load_SE2,2,1,0.0
None,nse0_residential_tertiary_load_SE3,3,1,1.4580059272659887e7
None,nse1_residential_tertiary_load_SE3,3,1,1.0046834692828298e7
None,nse2_residential_tertiary_load_SE3,3,1,0.0
None,nse3_residential_tertiary_load_SE3,3,1,0.0
None,nse0_residential_tertiary_load_SE4,4,1,4.2869584680859735e6
None,nse1_residential_tertiary_load_SE4,4,1,2.873941039081795e6
None,nse2_residential_tertiary_load_SE4,4,1,0.0
None,nse3_residential_tertiary_load_SE4,4,1,0.0
None,nse0_electrolyser_load_SE1,1,1,3.988040533861867e6
None,nse1_electrolyser_load_SE1,1,1,3.970404195608711e6
None,nse2_electrolyser_load_SE1,1,1,3.9677977069212557e6
None,nse3_electrolyser_load_SE1,1,1,3.955582676970923e6
None,nse0_electrolyser_load_SE2,2,1,144195.25499879112
None,nse1_electrolyser_load_SE2,2,1,143596.68912616503
None,nse2_electrolyser_load_SE2,2,1,143503.31204902608
None,nse3_electrolyser_load_SE2,2,1,143055.54117902563
None,nse0_electrolyser_load_SE3,3,1,494950.2742051822
None,nse1_electrolyser_load_SE3,3,1,492702.41230270907
None,nse2_electrolyser_load_SE3,3,1,490583.60683997226
None,nse3_electrolyser_load_SE3,3,1,489429.552436509
None,nse0_electrolyser_load_SE4,4,1,42756.06419629346
None,nse1_electrolyser_load_SE4,4,1,42609.24433911526
None,nse2_electrolyser_load_SE4,4,1,42583.56518551989
None,nse3_electrolyser_load_SE4,4,1,42312.15786604223
None,nse0_industry_load_SE1,1,1,4.3082063629255936e7
None,nse1_industry_load_SE1,1,1,3.1949384626375083e7
None,nse2_industry_load_SE1,1,1,0.0
None,nse3_industry_load_SE1,1,1,0.0
None,nse0_industry_load_SE2,2,1,2.2922849262157995e7
None,nse1_industry_load_SE2,2,1,1.7376984586026758e7
None,nse2_industry_load_SE2,2,1,0.0
None,nse3_industry_load_SE2,2,1,0.0
