Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
must_run_DK1,9,700.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_DK2,10,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_DK1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_DK1,9,700.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_DK2,10,260.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_DK1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_retrofit_DK2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_DK1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_DK2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_DK1,9,7096.514308,0.0,0.0,7096.514308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_DK2,10,5097.576938,0.0,0.0,5097.576938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_DK1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_DK2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_DK1,9,3895.152508,0.0,0.0,3895.152508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_DK2,10,349.815805,0.0,0.0,349.815805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
