hydro_SE1,hydro_SE2,hydro_NO125,hydro_NO3,hydro_NO4
0.8327832055,0.8327136576071428,0.8327832055,0.8327832055,0.8327832055
0.8326082649166666,0.8324311383273809,0.8326082649166666,0.8326082649166666,0.8326082649166666
0.8324333243333334,0.832148619047619,0.8324333243333334,0.8324333243333334,0.8324333243333334
0.83225838375,0.8318660997678571,0.83225838375,0.83225838375,0.83225838375
0.8320834431666667,0.8315835804880952,0.8320834431666667,0.8320834431666667,0.8320834431666667
0.8319085025833334,0.8313010612083332,0.8319085025833334,0.8319085025833334,0.8319085025833334
0.831733562,0.8310185419285714,0.831733562,0.831733562,0.831733562
0.8315586214166667,0.8307360226488095,0.8315586214166667,0.8315586214166667,0.8315586214166667
0.8313836808333334,0.8304535033690476,0.8313836808333334,0.8313836808333334,0.8313836808333334
0.83120874025,0.8301709840892857,0.83120874025,0.83120874025,0.83120874025
0.8310337996666667,0.8298884648095238,0.8310337996666667,0.8310337996666667,0.8310337996666667
0.8308588590833333,0.8296059455297619,0.8308588590833333,0.8308588590833333,0.8308588590833333
0.8306839185,0.82932342625,0.8306839185,0.8306839185,0.8306839185
0.8305089779166667,0.829040906970238,0.8305089779166667,0.8305089779166667,0.8305089779166667
0.8303340373333333,0.8287583876904762,0.8303340373333333,0.8303340373333333,0.8303340373333333
0.83015909675,0.8284758684107143,0.83015909675,0.83015909675,0.83015909675
0.8299841561666667,0.8281933491309523,0.8299841561666667,0.8299841561666667,0.8299841561666667
0.8298092155833333,0.8279108298511905,0.8298092155833333,0.8298092155833333,0.8298092155833333
0.829634275,0.8276283105714285,0.829634275,0.829634275,0.829634275
0.8294593344166666,0.8273457912916666,0.8294593344166666,0.8294593344166666,0.8294593344166666
0.8292843938333333,0.8270632720119048,0.8292843938333333,0.8292843938333333,0.8292843938333333
0.82910945325,0.8267807527321428,0.82910945325,0.82910945325,0.82910945325
0.8289345126666666,0.8264982334523809,0.8289345126666666,0.8289345126666666,0.8289345126666666
0.8287595720833334,0.826215714172619,0.8287595720833334,0.8287595720833334,0.8287595720833334
0.8285846315000001,0.8259331948928571,0.8285846315000001,0.8285846315000001,0.8285846315000001
0.8284096909166667,0.8256506756130952,0.8284096909166667,0.8284096909166667,0.8284096909166667
0.8282347503333334,0.8253681563333333,0.8282347503333334,0.8282347503333334,0.8282347503333334
0.82805980975,0.8250856370535714,0.82805980975,0.82805980975,0.82805980975
0.8278848691666667,0.8248031177738095,0.8278848691666667,0.8278848691666667,0.8278848691666667
0.8277099285833334,0.8245205984940476,0.8277099285833334,0.8277099285833334,0.8277099285833334
0.827534988,0.8242380792142857,0.827534988,0.827534988,0.827534988
