region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_Charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_Charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
None,solar_SE2,2,1,49,3.524234350844409e8,0.0,0.0,8.794242989543396e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.403658649798757e8,0.0,0.0,0.0,0.0,0.0,4.403658649798757e8,4.4036586497987485e8,8.344650268554688e-7
None,solar_SE3,3,1,50,5.962236735243206e8,0.0,0.0,1.4877943232789728e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.450031058522199e8,0.0,0.0,0.0,0.0,0.0,7.450031058522199e8,7.450031058522179e8,2.0265579223632812e-6
None,solar_SE4,4,1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,battery_storage_SE1,1,1,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,battery_storage_SE2,2,1,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,battery_storage_SE3,3,1,54,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,battery_storage_SE4,4,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE1,1,1,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE2,2,1,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE3,3,1,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE4,4,1,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE1,1,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE2,2,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE3,3,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE4,4,1,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE1,1,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE2,2,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE3,3,1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE4,4,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,burning_NO125,5,1,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0220312535650814e8,0.0,0.0,0.0,0.0,0.0,1.0220312535650814e8,0.0,1.0220312535650814e8
None,burning_NO3,6,1,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.540128478554516e7,0.0,0.0,0.0,0.0,0.0,2.540128478554516e7,0.0,2.540128478554516e7
None,burning_NO4,7,1,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.427639431593878e8,0.0,0.0,0.0,0.0,0.0,1.427639431593878e8,0.0,1.427639431593878e8
None,must_run_NO125,5,1,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.308547406536597e8,0.0,0.0,0.0,0.0,0.0,7.308547406536597e8,0.0,7.308547406536597e8
None,must_run_NO3,6,1,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.480442411751552e7,0.0,0.0,0.0,0.0,0.0,8.480442411751552e7,0.0,8.480442411751552e7
None,must_run_NO4,7,1,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5403776747880206e7,0.0,0.0,0.0,0.0,0.0,3.5403776747880206e7,0.0,3.5403776747880206e7
None,hydro_NO125,5,1,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.930150446260314e9,0.0,0.0,0.0,0.0,0.0,5.930150446260314e9,0.0,5.930150446260314e9
None,hydro_NO3,6,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1021711780462685e9,0.0,0.0,0.0,0.0,0.0,1.1021711780462685e9,0.0,1.1021711780462685e9
None,hydro_NO4,7,1,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.765403212107602e9,0.0,0.0,0.0,0.0,0.0,1.765403212107602e9,0.0,1.765403212107602e9
None,hydro_flex_NO125,5,1,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81354169043389e8,0.0,0.0,0.0,0.0,0.0,6.81354169043389e8,0.0,6.81354169043389e8
None,hydro_flex_NO3,6,1,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.432606052100751e8,0.0,0.0,0.0,0.0,0.0,3.432606052100751e8,0.0,3.432606052100751e8
None,hydro_flex_NO4,7,1,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.383031828421329e8,0.0,0.0,0.0,0.0,0.0,3.383031828421329e8,0.0,3.383031828421329e8
None,wind_offshore_existing_NO125,5,1,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0512212814169753e7,0.0,0.0,0.0,0.0,0.0,1.0512212814169753e7,0.0,1.0512212814169753e7
None,wind_offshore_existing_NO3,6,1,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.060311057071533e7,0.0,0.0,0.0,0.0,0.0,1.060311057071533e7,0.0,1.060311057071533e7
None,wind_offshore_NO125,5,1,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238313959985645e9,0.0,0.0,0.0,0.0,0.0,1.238313959985645e9,0.0,1.238313959985645e9
None,wind_offshore_NO3,6,1,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_NO125,5,1,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3396347088819917e7,0.0,0.0,0.0,0.0,0.0,2.3396347088819917e7,0.0,2.3396347088819917e7
None,wind_onshore_existing_NO3,6,1,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_NO4,7,1,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6377459453777913e6,0.0,0.0,0.0,0.0,0.0,3.6377459453777913e6,0.0,3.6377459453777913e6
None,wind_onshore_NO125,5,1,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748882616226435e8,0.0,0.0,0.0,0.0,0.0,3.748882616226435e8,0.0,3.748882616226435e8
None,wind_onshore_NO3,6,1,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.366366740074736e8,0.0,0.0,0.0,0.0,0.0,3.366366740074736e8,0.0,3.366366740074736e8
None,wind_onshore_NO4,7,1,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0240684211773574e8,0.0,0.0,0.0,0.0,0.0,2.0240684211773574e8,0.0,2.0240684211773574e8
None,solar_existing_NO125,5,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_NO3,6,1,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_NO4,7,1,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_NO125,5,1,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.7204395043144,0.0,0.0,0.0,0.0,0.0,577.7204395043144,0.0,577.7204395043144
None,solar_NO3,6,1,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475634140090514e6,0.0,0.0,0.0,0.0,0.0,4.475634140090514e6,0.0,4.475634140090514e6
None,solar_NO4,7,1,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_existing_FI,8,1,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335740420580266e9,0.0,0.0,0.0,0.0,0.0,2.335740420580266e9,0.0,2.335740420580266e9
None,nuclear_FI,8,1,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239938407285614e9,0.0,0.0,0.0,0.0,0.0,2.239938407285614e9,0.0,2.239938407285614e9
None,thermal_FI,8,1,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.60119485930251e8,0.0,0.0,0.0,0.0,0.0,7.60119485930251e8,0.0,7.60119485930251e8
None,coal_hard_FI,8,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_FI,8,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_OC_FI,8,1,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
