Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
None,EV_flexload_UK,14,1,481,0.0
None,electrolyser_flexload_UK,14,1,482,0.0
None,flexload_FR,15,1,483,0.0
None,EV_flexload_FR,15,1,484,0.0
None,electrolyser_flexload_FR,15,1,485,0.0
None,flexload_ES,16,1,486,0.0
None,EV_flexload_ES,16,1,487,0.0
None,electrolyser_flexload_ES,16,1,488,0.0
None,flexload_NL,17,1,489,0.0
None,EV_flexload_NL,17,1,490,0.0
None,electrolyser_flexload_NL,17,1,491,0.0
