Resource,Zone,AnnualSum,Capacity,CapacityFactor
nse3_EV_load_DE,11,0.0,0.0,0.0
nse0_residential_tertiary_load_DE,11,1.0038930127579761e6,1215.206146,0.09430470654535066
nse1_residential_tertiary_load_DE,11,657273.5376347662,1215.206146,0.06174361938866741
nse2_residential_tertiary_load_DE,11,0.0,1215.206146,0.0
nse3_residential_tertiary_load_DE,11,0.0,1215.206146,0.0
nse0_electrolyser_load_DE,11,67408.90873079807,49.797566,0.1545272494913154
nse1_electrolyser_load_DE,11,65993.88823375081,49.797566,0.15128347608658965
nse2_electrolyser_load_DE,11,63143.31368800093,49.797566,0.14474885844749072
nse3_electrolyser_load_DE,11,58761.12787999974,49.797566,0.13470319634703137
nse0_industry_load_DE,11,1.8130943063949437e6,1574.152595,0.13148295568501334
nse1_industry_load_DE,11,1.1659222594452905e6,1574.152595,0.08455098238967326
nse2_industry_load_DE,11,0.0,1574.152595,0.0
nse3_industry_load_DE,11,0.0,1574.152595,0.0
nse0_losses_load_DE,11,0.0,0.0,0.0
nse1_losses_load_DE,11,0.0,0.0,0.0
nse2_losses_load_DE,11,0.0,0.0,0.0
nse3_losses_load_DE,11,0.0,0.0,0.0
nse0_baseload_PL,12,319152.5785954666,753.338174,0.04836200264297182
nse1_baseload_PL,12,27277.44340121876,753.338174,0.004133420433789954
nse2_baseload_PL,12,7794.521998148454,753.338174,0.0011811237594697977
nse3_baseload_PL,12,0.0,753.338174,0.0
nse0_baseload_BT,13,10663.635372376817,142.434726,0.008546440943170124
nse1_baseload_BT,13,1828.1559463278636,142.434726,0.001465187647982556
nse2_baseload_BT,13,290.693572886056,142.434726,0.00023297828240314742
nse3_baseload_BT,13,0.0,142.434726,0.0
nse0_baseload_UK,14,191337.03912893063,1983.332702,0.011012841028849297
nse1_baseload_UK,14,0.0,1983.332702,0.0
nse2_baseload_UK,14,0.0,1983.332702,0.0
nse3_baseload_UK,14,0.0,1983.332702,0.0
nse0_baseload_FR,15,210404.00227304365,2849.709704,0.008428480166577376
nse1_baseload_FR,15,0.0,2849.709704,0.0
nse2_baseload_FR,15,0.0,2849.709704,0.0
nse3_baseload_FR,15,0.0,2849.709704,0.0
nse0_baseload_ES,16,39092.20948955625,1274.279102,0.0035020436142713073
nse1_baseload_ES,16,0.0,1274.279102,0.0
nse2_baseload_ES,16,0.0,1274.279102,0.0
nse3_baseload_ES,16,0.0,1274.279102,0.0
nse0_baseload_NL,17,425938.589824398,591.804944,0.08216073080370022
nse1_baseload_NL,17,0.0,591.804944,0.0
nse2_baseload_NL,17,0.0,591.804944,0.0
nse3_baseload_NL,17,0.0,591.804944,0.0
heating_space_flexload_SE1,1,187024.70199651585,28.316813,0.0
heating_space_flexload_SE2,2,339935.17186762777,53.720625,0.0
heating_space_flexload_SE3,3,1.7001187426944205e6,275.754835,0.0
heating_space_flexload_SE4,4,491625.19552835455,80.699666,0.0
heating_sanitary_flexload_SE1,1,147525.49085762477,54.078054,0.0
heating_sanitary_flexload_SE2,2,312986.55907187,114.631163,0.0
heating_sanitary_flexload_SE3,3,1.9861116127514224e6,733.343049,0.0
heating_sanitary_flexload_SE4,4,674132.1630915048,247.371016,0.0
EV_flexload_SE1,1,0.0,0.0,0.0
EV_flexload_SE2,2,0.0,0.0,0.0
EV_flexload_SE3,3,0.0,0.0,0.0
EV_flexload_SE4,4,0.0,0.0,0.0
residential_tertiary_flexload_SE1,1,0.0,0.0,0.0
residential_tertiary_flexload_SE2,2,0.0,0.0,0.0
residential_tertiary_flexload_SE3,3,0.0,0.0,0.0
residential_tertiary_flexload_SE4,4,0.0,0.0,0.0
