Region,Resource,Zone,Cluster,AnnualSum
None,nse2_residential_tertiary_load_SE4,4,1,0.0
None,nse3_residential_tertiary_load_SE4,4,1,0.0
None,nse0_electrolyser_load_SE1,1,1,0.0
None,nse1_electrolyser_load_SE1,1,1,0.0
None,nse2_electrolyser_load_SE1,1,1,0.0
None,nse3_electrolyser_load_SE1,1,1,0.0
None,nse0_electrolyser_load_SE2,2,1,0.0
None,nse1_electrolyser_load_SE2,2,1,0.0
None,nse2_electrolyser_load_SE2,2,1,0.0
None,nse3_electrolyser_load_SE2,2,1,0.0
None,nse0_electrolyser_load_SE3,3,1,0.0
None,nse1_electrolyser_load_SE3,3,1,0.0
None,nse2_electrolyser_load_SE3,3,1,0.0
None,nse3_electrolyser_load_SE3,3,1,0.0
None,nse0_electrolyser_load_SE4,4,1,0.0
None,nse1_electrolyser_load_SE4,4,1,0.0
None,nse2_electrolyser_load_SE4,4,1,0.0
None,nse3_electrolyser_load_SE4,4,1,0.0
None,nse0_industry_load_SE1,1,1,0.0
None,nse1_industry_load_SE1,1,1,0.0
None,nse2_industry_load_SE1,1,1,0.0
None,nse3_industry_load_SE1,1,1,0.0
None,nse0_industry_load_SE2,2,1,0.0
None,nse1_industry_load_SE2,2,1,0.0
None,nse2_industry_load_SE2,2,1,0.0
None,nse3_industry_load_SE2,2,1,0.0
None,nse0_industry_load_SE3,3,1,0.0
None,nse1_industry_load_SE3,3,1,0.0
None,nse2_industry_load_SE3,3,1,0.0
None,nse3_industry_load_SE3,3,1,0.0
None,nse0_industry_load_SE4,4,1,0.0
None,nse1_industry_load_SE4,4,1,0.0
None,nse2_industry_load_SE4,4,1,0.0
None,nse3_industry_load_SE4,4,1,0.0
None,nse0_losses_load_SE1,1,1,0.0
None,nse1_losses_load_SE1,1,1,0.0
None,nse2_losses_load_SE1,1,1,0.0
None,nse3_losses_load_SE1,1,1,0.0
None,nse0_losses_load_SE2,2,1,0.0
None,nse1_losses_load_SE2,2,1,0.0
None,nse2_losses_load_SE2,2,1,0.0
None,nse3_losses_load_SE2,2,1,0.0
None,nse0_losses_load_SE3,3,1,0.0
None,nse1_losses_load_SE3,3,1,0.0
None,nse2_losses_load_SE3,3,1,0.0
None,nse3_losses_load_SE3,3,1,0.0
None,nse0_losses_load_SE4,4,1,0.0
None,nse1_losses_load_SE4,4,1,0.0
None,nse2_losses_load_SE4,4,1,0.0
None,nse3_losses_load_SE4,4,1,0.0
None,nse0_baseload_NO125,5,1,0.0
None,nse1_baseload_NO125,5,1,0.0
None,nse2_baseload_NO125,5,1,0.0
None,nse3_baseload_NO125,5,1,0.0
None,nse0_baseload_NO3,6,1,0.0
None,nse1_baseload_NO3,6,1,0.0
None,nse2_baseload_NO3,6,1,0.0
None,nse3_baseload_NO3,6,1,0.0
None,nse0_baseload_NO4,7,1,0.0
None,nse1_baseload_NO4,7,1,0.0
None,nse2_baseload_NO4,7,1,0.0
None,nse3_baseload_NO4,7,1,0.0
None,nse0_baseload_FI,8,1,0.0
None,nse1_baseload_FI,8,1,0.0
None,nse2_baseload_FI,8,1,0.0
None,nse3_baseload_FI,8,1,0.0
None,nse0_baseload_DK1,9,1,0.0
None,nse1_baseload_DK1,9,1,0.0
None,nse2_baseload_DK1,9,1,0.0
None,nse3_baseload_DK1,9,1,0.0
None,nse0_baseload_DK2,10,1,0.0
None,nse1_baseload_DK2,10,1,0.0
None,nse2_baseload_DK2,10,1,0.0
None,nse3_baseload_DK2,10,1,0.0
None,nse0_heating_space_load_DE,11,1,0.0
None,nse1_heating_space_load_DE,11,1,0.0
None,nse2_heating_space_load_DE,11,1,0.0
None,nse3_heating_space_load_DE,11,1,0.0
None,nse0_heating_sanitary_load_DE,11,1,0.0
None,nse1_heating_sanitary_load_DE,11,1,0.0
None,nse2_heating_sanitary_load_DE,11,1,0.0
None,nse3_heating_sanitary_load_DE,11,1,0.0
None,nse0_EV_load_DE,11,1,0.0
None,nse1_EV_load_DE,11,1,0.0
None,nse2_EV_load_DE,11,1,0.0
None,nse3_EV_load_DE,11,1,0.0
None,nse0_residential_tertiary_load_DE,11,1,0.0
None,nse1_residential_tertiary_load_DE,11,1,0.0
None,nse2_residential_tertiary_load_DE,11,1,0.0
None,nse3_residential_tertiary_load_DE,11,1,0.0
None,nse0_electrolyser_load_DE,11,1,0.0
None,nse1_electrolyser_load_DE,11,1,0.0
None,nse2_electrolyser_load_DE,11,1,0.0
None,nse3_electrolyser_load_DE,11,1,0.0
None,nse0_industry_load_DE,11,1,0.0
None,nse1_industry_load_DE,11,1,0.0
None,nse2_industry_load_DE,11,1,0.0
None,nse3_industry_load_DE,11,1,0.0
None,nse0_losses_load_DE,11,1,0.0
None,nse1_losses_load_DE,11,1,0.0
None,nse2_losses_load_DE,11,1,0.0
None,nse3_losses_load_DE,11,1,0.0
None,nse0_baseload_PL,12,1,0.0
None,nse1_baseload_PL,12,1,0.0
None,nse2_baseload_PL,12,1,0.0
None,nse3_baseload_PL,12,1,0.0
None,nse0_baseload_BT,13,1,0.0
None,nse1_baseload_BT,13,1,0.0
None,nse2_baseload_BT,13,1,0.0
None,nse3_baseload_BT,13,1,0.0
None,nse0_baseload_UK,14,1,0.0
None,nse1_baseload_UK,14,1,0.0
None,nse2_baseload_UK,14,1,0.0
None,nse3_baseload_UK,14,1,0.0
None,nse0_baseload_FR,15,1,0.0
None,nse1_baseload_FR,15,1,0.0
None,nse2_baseload_FR,15,1,0.0
None,nse3_baseload_FR,15,1,0.0
None,nse0_baseload_ES,16,1,0.0
None,nse1_baseload_ES,16,1,0.0
None,nse2_baseload_ES,16,1,0.0
None,nse3_baseload_ES,16,1,0.0
None,nse0_baseload_NL,17,1,0.0
None,nse1_baseload_NL,17,1,0.0
None,nse2_baseload_NL,17,1,0.0
None,nse3_baseload_NL,17,1,0.0
None,heating_space_flexload_SE1,1,1,1.375591706916792e7
None,heating_space_flexload_SE2,2,1,2.4684740909196343e7
None,heating_space_flexload_SE3,3,1,1.2977783665910408e8
None,heating_space_flexload_SE4,4,1,3.759001464848389e7
None,heating_sanitary_flexload_SE1,1,1,8.521418476513216e6
None,heating_sanitary_flexload_SE2,2,1,1.755361372965121e7
None,heating_sanitary_flexload_SE3,3,1,1.1259713045149605e8
None,heating_sanitary_flexload_SE4,4,1,3.715832816791868e7
None,EV_flexload_SE1,1,1,0.0
None,EV_flexload_SE2,2,1,0.0
None,EV_flexload_SE3,3,1,0.0
None,EV_flexload_SE4,4,1,0.0
None,residential_tertiary_flexload_SE1,1,1,0.0
None,residential_tertiary_flexload_SE2,2,1,0.0
None,residential_tertiary_flexload_SE3,3,1,0.0
None,residential_tertiary_flexload_SE4,4,1,0.0
None,industry_flexload_SE1,1,1,4.338627003292609e7
None,industry_flexload_SE2,2,1,2.5444464539699726e7
None,industry_flexload_SE3,3,1,6.027879365447121e7
None,industry_flexload_SE4,4,1,1.293029015885426e7
None,electrolyser_flexload_SE1,1,1,6.973301601106223e8
None,electrolyser_flexload_SE2,2,1,2.3469576943136986e7
None,electrolyser_flexload_SE3,3,1,7.85573473637008e7
None,electrolyser_flexload_SE4,4,1,6.183917861257626e6
None,losses_flexload_SE1,1,1,0.0
None,losses_flexload_SE2,2,1,0.0
None,losses_flexload_SE3,3,1,0.0
None,losses_flexload_SE4,4,1,0.0
None,flexload_NO125,5,1,0.0
None,flexload_NO3,6,1,0.0
None,flexload_NO4,7,1,0.0
None,EV_flexload_NO125,5,1,0.0
None,EV_flexload_NO3,6,1,0.0
None,EV_flexload_NO4,7,1,0.0
None,flexload_FI,8,1,0.0
None,electrolyser_flexload_FI,8,1,3.514488769914011e8
None,EV_flexload_FI,8,1,2.0696785685854277e8
None,industry_flexload_FI,8,1,3.5167467908001703e8
None,flexload_DK1,9,1,0.0
None,flexload_DK2,10,1,0.0
None,EV_flexload_DK1,9,1,0.0
None,EV_flexload_DK2,10,1,0.0
None,heating_space_flexload_DE,11,1,1.8126930273001885e9
None,heating_sanitary_flexload_DE,11,1,1.3193095778239954e9
None,EV_flexload_DE,11,1,0.0
None,residential_tertiary_flexload_DE,11,1,0.0
None,industry_flexload_DE,11,1,4.0140474909218913e8
None,electrolyser_flexload_DE,11,1,2.2230217353946843e9
None,losses_flexload_DE,11,1,0.0
None,EV_flexload_PL,12,1,0.0
None,flexload_PL,12,1,0.0
None,flexload_BT,13,1,0.0
None,EV_flexload_BT,13,1,0.0
None,flexload_UK,14,1,0.0
None,EV_flexload_UK,14,1,2.347959259207967e9
None,electrolyser_flexload_UK,14,1,1.4350550789540198e9
None,flexload_FR,15,1,0.0
None,EV_flexload_FR,15,1,9.019189574480699e8
None,electrolyser_flexload_FR,15,1,3.116616821932817e8
None,flexload_ES,16,1,0.0
None,EV_flexload_ES,16,1,1.8896341848186564e8
None,electrolyser_flexload_ES,16,1,7.207753799599178e8
None,flexload_NL,17,1,0.0
None,EV_flexload_NL,17,1,5.988996161133848e8
None,electrolyser_flexload_NL,17,1,1.6253657843572383e9
