Resource,Zone,New_Build,THERM,Cap_Size,VRE,Num_VRE_Bins,MUST_RUN,STOR,FLEX,HYDRO,LDS,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Up_Time,Down_Time,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Cost,Rsv_Cost,Reg_Max,Rsv_Max,region,cluster,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
nuclear_FI,8,0,0,1000.0,0,0,1,0,0,0,0,4394.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,121000.0,0.0,0.0,6.6,0.0,9.48,uranium,0.0,0.6,0.4,0.4,1.0,1.0,0,1.0,1,0,0,1,1,24,204,0.0,0,0,1,1,None,1,0,0,0,0,0
nuclear_new_FI,8,1,0,1000.0,0,0,1,0,0,0,0,0.0,0.0,0.0,1000.0,-1.0,-1.0,1000.0,-1.0,-1.0,295800.0,0.0,0.0,68000.0,0.0,0.0,6.6,0.0,9.48,uranium,0.0,0.6,0.4,0.4,1.0,1.0,0,1.0,1,0,0,1,1,24,0,0.0,0,0,1,1,None,1,0,0,0,0,0
must_run_FI,8,-1,0,0.0,0,0,1,0,0,0,0,1800.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
thermal_FI,8,0,2,500.0,0,0,0,0,0,0,0,1000.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87580.0,0.0,0.0,26000.0,0.0,0.0,0.0,0.0,1.0,thermal_FI,0.0,0.0,0.7,0.7,1.0,1.0,0,1.0,1,0,0,1,4,6,103,0.22,0,0,1,1,None,1,0,0,0,0,0
hydro_FI,8,-1,2,500.0,0,0,0,0,0,0,0,1500.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,44600.0,0.0,0.0,0.0,0.0,1.0,hydro_FI,0.0,0.12,0.4,0.4,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
biogas_FI,8,0,2,500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87580.0,0.0,0.0,26000.0,0.0,0.0,0.0,0.0,1.0,biogas_FI,0.0,0.0,0.7,0.7,1.0,1.0,0,1.0,1,0,0,1,4,6,103,0.22,0,0,1,1,None,1,0,0,0,0,0
biogas_new_FI,8,1,2,500.0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87580.0,0.0,0.0,26000.0,0.0,0.0,0.0,0.0,1.0,biogas_new_FI,0.0,0.0,0.7,0.7,1.0,1.0,0,1.0,1,0,0,1,4,6,103,0.22,0,0,1,1,None,1,0,0,0,0,0
wind_offshore_FI,8,-1,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,187900.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_offshore_new_FI,8,1,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,187900.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_onshore_new_FI,8,1,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68300.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_onshore_FI,8,-1,0,0.0,1,1,0,0,0,0,0,5000.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68300.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
solar_FI,8,-1,0,0.0,1,1,0,0,0,0,0,2479.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
solar_new_FI,8,1,0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36600.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
battery_FI,8,1,0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38200.0,7600.0,0.0,4000.0,0.0,0.0,1.0,0.0,0.0,None,0.002,0.0,1.0,1.0,0.95,0.95,0,0.25,10,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
hydrogen_storage_FI,8,-1,0,0.0,0,0,0,2,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67200.0,200.0,33200.0,12000.0,0.0,13000.0,3.0,0.0,0.0,None,0.0,0.0,1.0,1.0,0.66,0.5,0,140.0,250,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
must_run_DK1,9,-1,0,0.0,0,0,1,0,0,0,0,325.351994,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
gas_DK1,9,-1,2,500.0,0,0,0,0,0,0,0,1100.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,gas_DK1,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_offshore_DK1,9,-1,0,0.0,1,1,0,0,0,0,0,5501.95,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
wind_onshore_DK1,9,-1,0,0.0,1,1,0,0,0,0,0,4977.21,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1,0,0,1,0,0,0,0.0,0,0,1,1,None,1,0,0,0,0,0
